observation_date,prate
1972-02-01,12.50
1972-03-01,#N/A
1972-04-01,#N/A
1972-05-01,12.44
1972-06-01,#N/A
1972-07-01,#N/A
1972-08-01,12.47
1972-09-01,#N/A
1972-10-01,#N/A
1972-11-01,12.44
1972-12-01,#N/A
1973-01-01,#N/A
1973-02-01,12.51
1973-03-01,#N/A
1973-04-01,#N/A
1973-05-01,12.48
1973-06-01,#N/A
1973-07-01,#N/A
1973-08-01,12.66
1973-09-01,#N/A
1973-10-01,#N/A
1973-11-01,12.75
1973-12-01,#N/A
1974-01-01,#N/A
1974-02-01,12.82
1974-03-01,#N/A
1974-04-01,#N/A
1974-05-01,12.88
1974-06-01,#N/A
1974-07-01,#N/A
1974-08-01,13.11
1974-09-01,#N/A
1974-10-01,#N/A
1974-11-01,13.16
1974-12-01,#N/A
1975-01-01,#N/A
1975-02-01,13.20
1975-03-01,#N/A
1975-04-01,#N/A
1975-05-01,13.11
1975-06-01,#N/A
1975-07-01,#N/A
1975-08-01,13.05
1975-09-01,#N/A
1975-10-01,#N/A
1975-11-01,12.96
1975-12-01,#N/A
1976-01-01,#N/A
1976-02-01,13.02
1976-03-01,#N/A
1976-04-01,#N/A
1976-05-01,12.96
1976-06-01,#N/A
1976-07-01,#N/A
1976-08-01,13.02
1976-09-01,#N/A
1976-10-01,#N/A
1976-11-01,13.06
1976-12-01,#N/A
1977-01-01,#N/A
1977-02-01,12.95
1977-03-01,#N/A
1977-04-01,#N/A
1977-05-01,13.00
1977-06-01,#N/A
1977-07-01,#N/A
1977-08-01,12.87
1977-09-01,#N/A
1977-10-01,#N/A
1977-11-01,13.06
1977-12-01,#N/A
1978-01-01,#N/A
1978-02-01,12.94
1978-03-01,#N/A
1978-04-01,#N/A
1978-05-01,13.11
1978-06-01,#N/A
1978-07-01,#N/A
1978-08-01,13.30
1978-09-01,#N/A
1978-10-01,#N/A
1978-11-01,13.42
1978-12-01,#N/A
1979-01-01,#N/A
1979-02-01,13.59
1979-03-01,#N/A
1979-04-01,#N/A
1979-05-01,13.65
1979-06-01,#N/A
1979-07-01,#N/A
1979-08-01,13.76
1979-09-01,#N/A
1979-10-01,#N/A
1979-11-01,14.39
1979-12-01,#N/A
1980-01-01,#N/A
1980-02-01,14.69
1980-03-01,#N/A
1980-04-01,#N/A
1980-05-01,16.31
1980-06-01,#N/A
1980-07-01,#N/A
1980-08-01,15.33
1980-09-01,#N/A
1980-10-01,#N/A
1980-11-01,15.54
1980-12-01,#N/A
1981-01-01,#N/A
1981-02-01,17.14
1981-03-01,#N/A
1981-04-01,#N/A
1981-05-01,17.48
1981-06-01,#N/A
1981-07-01,#N/A
1981-08-01,18.52
1981-09-01,#N/A
1981-10-01,#N/A
1981-11-01,19.21
1981-12-01,#N/A
1982-01-01,#N/A
1982-02-01,18.76
1982-03-01,#N/A
1982-04-01,#N/A
1982-05-01,18.90
1982-06-01,#N/A
1982-07-01,#N/A
1982-08-01,18.93
1982-09-01,#N/A
1982-10-01,#N/A
1982-11-01,17.99
1982-12-01,#N/A
1983-01-01,#N/A
1983-02-01,17.47
1983-03-01,#N/A
1983-04-01,#N/A
1983-05-01,16.57
1983-06-01,#N/A
1983-07-01,#N/A
1983-08-01,16.28
1983-09-01,#N/A
1983-10-01,#N/A
1983-11-01,16.39
1983-12-01,#N/A
1984-01-01,#N/A
1984-02-01,16.16
1984-03-01,#N/A
1984-04-01,#N/A
1984-05-01,16.35
1984-06-01,#N/A
1984-07-01,#N/A
1984-08-01,16.75
1984-09-01,#N/A
1984-10-01,#N/A
1984-11-01,16.63
1984-12-01,#N/A
1985-01-01,#N/A
1985-02-01,16.21
1985-03-01,#N/A
1985-04-01,#N/A
1985-05-01,16.09
1985-06-01,#N/A
1985-07-01,#N/A
1985-08-01,15.84
1985-09-01,#N/A
1985-10-01,#N/A
1985-11-01,15.61
1985-12-01,#N/A
1986-01-01,#N/A
1986-02-01,15.52
1986-03-01,#N/A
1986-04-01,#N/A
1986-05-01,14.89
1986-06-01,#N/A
1986-07-01,#N/A
1986-08-01,14.70
1986-09-01,#N/A
1986-10-01,#N/A
1986-11-01,14.19
1986-12-01,#N/A
1987-01-01,#N/A
1987-02-01,14.10
1987-03-01,#N/A
1987-04-01,#N/A
1987-05-01,14.00
1987-06-01,#N/A
1987-07-01,#N/A
1987-08-01,14.22
1987-09-01,#N/A
1987-10-01,#N/A
1987-11-01,14.58
1987-12-01,#N/A
1988-01-01,#N/A
1988-02-01,14.46
1988-03-01,#N/A
1988-04-01,#N/A
1988-05-01,14.40
1988-06-01,#N/A
1988-07-01,#N/A
1988-08-01,14.81
1988-09-01,#N/A
1988-10-01,#N/A
1988-11-01,15.06
1988-12-01,#N/A
1989-01-01,#N/A
1989-02-01,15.22
1989-03-01,#N/A
1989-04-01,#N/A
1989-05-01,15.65
1989-06-01,#N/A
1989-07-01,#N/A
1989-08-01,15.45
1989-09-01,#N/A
1989-10-01,#N/A
1989-11-01,15.42
1989-12-01,#N/A
1990-01-01,#N/A
1990-02-01,15.27
1990-03-01,#N/A
1990-04-01,#N/A
1990-05-01,15.41
1990-06-01,#N/A
1990-07-01,#N/A
1990-08-01,15.46
1990-09-01,#N/A
1990-10-01,#N/A
1990-11-01,15.69
1990-12-01,#N/A
1991-01-01,#N/A
1991-02-01,15.42
1991-03-01,#N/A
1991-04-01,#N/A
1991-05-01,15.16
1991-06-01,#N/A
1991-07-01,#N/A
1991-08-01,15.24
1991-09-01,#N/A
1991-10-01,#N/A
1991-11-01,14.88
1991-12-01,#N/A
1992-01-01,#N/A
1992-02-01,14.39
1992-03-01,#N/A
1992-04-01,#N/A
1992-05-01,14.28
1992-06-01,#N/A
1992-07-01,#N/A
1992-08-01,13.94
1992-09-01,#N/A
1992-10-01,#N/A
1992-11-01,13.55
1992-12-01,#N/A
1993-01-01,#N/A
1993-02-01,13.57
1993-03-01,#N/A
1993-04-01,#N/A
1993-05-01,13.63
1993-06-01,#N/A
1993-07-01,#N/A
1993-08-01,13.45
1993-09-01,#N/A
1993-10-01,#N/A
1993-11-01,13.22
1993-12-01,#N/A
1994-01-01,#N/A
1994-02-01,12.89
1994-03-01,#N/A
1994-04-01,#N/A
1994-05-01,12.96
1994-06-01,#N/A
1994-07-01,#N/A
1994-08-01,13.33
1994-09-01,#N/A
1994-10-01,#N/A
1994-11-01,13.59
1994-12-01,#N/A
1995-01-01,#N/A
1995-02-01,14.10
1995-03-01,#N/A
1995-04-01,#N/A
1995-05-01,14.03
1995-06-01,#N/A
1995-07-01,#N/A
1995-08-01,13.84
1995-09-01,#N/A
1995-10-01,#N/A
1995-11-01,13.80
1995-12-01,#N/A
1996-01-01,#N/A
1996-02-01,13.63
1996-03-01,#N/A
1996-04-01,#N/A
1996-05-01,13.52
1996-06-01,#N/A
1996-07-01,#N/A
1996-08-01,13.37
1996-09-01,#N/A
1996-10-01,#N/A
1996-11-01,13.62
1996-12-01,#N/A
1997-01-01,#N/A
1997-02-01,13.46
1997-03-01,#N/A
1997-04-01,#N/A
1997-05-01,13.81
1997-06-01,#N/A
1997-07-01,#N/A
1997-08-01,13.84
1997-09-01,#N/A
1997-10-01,#N/A
1997-11-01,14.50
1997-12-01,#N/A
1998-01-01,#N/A
1998-02-01,14.06
1998-03-01,#N/A
1998-04-01,#N/A
1998-05-01,13.76
1998-06-01,#N/A
1998-07-01,#N/A
1998-08-01,13.48
1998-09-01,#N/A
1998-10-01,#N/A
1998-11-01,13.75
1998-12-01,#N/A
1999-01-01,#N/A
1999-02-01,13.39
1999-03-01,#N/A
1999-04-01,#N/A
1999-05-01,13.26
1999-06-01,#N/A
1999-07-01,#N/A
1999-08-01,13.38
1999-09-01,#N/A
1999-10-01,#N/A
1999-11-01,13.52
1999-12-01,#N/A
2000-01-01,#N/A
2000-02-01,13.76
2000-03-01,#N/A
2000-04-01,#N/A
2000-05-01,13.89
2000-06-01,#N/A
2000-07-01,#N/A
2000-08-01,13.84
2000-09-01,#N/A
2000-10-01,#N/A
2000-11-01,14.10
2000-12-01,#N/A
2001-01-01,#N/A
2001-02-01,13.70
2001-03-01,#N/A
2001-04-01,#N/A
2001-05-01,13.30
2001-06-01,#N/A
2001-07-01,#N/A
2001-08-01,13.25
2001-09-01,#N/A
2001-10-01,#N/A
2001-11-01,12.62
2001-12-01,#N/A
2002-01-01,#N/A
2002-02-01,12.86
2002-03-01,#N/A
2002-04-01,#N/A
2002-05-01,12.57
2002-06-01,#N/A
2002-07-01,#N/A
2002-08-01,12.49
2002-09-01,#N/A
2002-10-01,#N/A
2002-11-01,12.24
2002-12-01,#N/A
2003-01-01,#N/A
2003-02-01,11.70
2003-03-01,#N/A
2003-04-01,#N/A
2003-05-01,12.19
2003-06-01,#N/A
2003-07-01,#N/A
2003-08-01,11.97
2003-09-01,#N/A
2003-10-01,#N/A
2003-11-01,11.97
2003-12-01,#N/A
2004-01-01,#N/A
2004-02-01,11.88
2004-03-01,#N/A
2004-04-01,#N/A
2004-05-01,11.80
2004-06-01,#N/A
2004-07-01,#N/A
2004-08-01,12.02
2004-09-01,#N/A
2004-10-01,#N/A
2004-11-01,11.84
2004-12-01,#N/A
2005-01-01,#N/A
2005-02-01,12.01
2005-03-01,#N/A
2005-04-01,#N/A
2005-05-01,12.05
2005-06-01,#N/A
2005-07-01,#N/A
2005-08-01,12.22
2005-09-01,#N/A
2005-10-01,#N/A
2005-11-01,11.95
2005-12-01,#N/A
2006-01-01,#N/A
2006-02-01,12.18
2006-03-01,#N/A
2006-04-01,#N/A
2006-05-01,12.58
2006-06-01,#N/A
2006-07-01,#N/A
2006-08-01,12.40
2006-09-01,#N/A
2006-10-01,#N/A
2006-11-01,12.49
2006-12-01,#N/A
2007-01-01,#N/A
2007-02-01,12.32
2007-03-01,#N/A
2007-04-01,#N/A
2007-05-01,12.53
2007-06-01,#N/A
2007-07-01,#N/A
2007-08-01,12.51
2007-09-01,#N/A
2007-10-01,#N/A
2007-11-01,12.16
2007-12-01,#N/A
2008-01-01,#N/A
2008-02-01,11.43
2008-03-01,#N/A
2008-04-01,#N/A
2008-05-01,11.14
2008-06-01,#N/A
2008-07-01,#N/A
2008-08-01,11.48
2008-09-01,#N/A
2008-10-01,#N/A
2008-11-01,11.44
2008-12-01,#N/A
2009-01-01,#N/A
2009-02-01,11.05
2009-03-01,#N/A
2009-04-01,#N/A
2009-05-01,11.25
2009-06-01,#N/A
2009-07-01,#N/A
2009-08-01,10.89
2009-09-01,#N/A
2009-10-01,#N/A
2009-11-01,11.20
2009-12-01,#N/A
2010-01-01,#N/A
2010-02-01,10.83
2010-03-01,#N/A
2010-04-01,#N/A
2010-05-01,11.00
2010-06-01,#N/A
2010-07-01,#N/A
2010-08-01,10.71
2010-09-01,#N/A
2010-10-01,#N/A
2010-11-01,10.94
2010-12-01,#N/A
2011-01-01,#N/A
2011-02-01,10.98
2011-03-01,#N/A
2011-04-01,#N/A
2011-05-01,11.37
2011-06-01,#N/A
2011-07-01,#N/A
2011-08-01,10.80
2011-09-01,#N/A
2011-10-01,#N/A
2011-11-01,10.36
2011-12-01,#N/A
2012-01-01,#N/A
2012-02-01,10.89
2012-03-01,#N/A
2012-04-01,#N/A
2012-05-01,10.94
2012-06-01,#N/A
2012-07-01,#N/A
2012-08-01,10.37
2012-09-01,#N/A
2012-10-01,#N/A
2012-11-01,10.64
2012-12-01,#N/A
2013-01-01,#N/A
2013-02-01,10.12
2013-03-01,#N/A
2013-04-01,#N/A
2013-05-01,10.34
2013-06-01,#N/A
2013-07-01,#N/A
2013-08-01,10.13
2013-09-01,#N/A
2013-10-01,#N/A
2013-11-01,10.22
2013-12-01,#N/A
2014-01-01,#N/A
2014-02-01,10.09
2014-03-01,#N/A
2014-04-01,#N/A
2014-05-01,9.62
2014-06-01,#N/A
